gene,importance,mean_non_msi_h,mean_msi_h,higher_in
ADRB1,0.0015894249147788812,2.8779716049130544,3.7098329973728856,MSI-H
CD53,0.00158116450311293,6.3779183829831245,6.94038281097319,MSI-H
INSC,0.0015648746617822756,3.6639735151314405,2.9987214388253025,Non-MSI-H
ASGR1,0.0015487424514688442,4.8102749593309815,4.008540800341867,Non-MSI-H
WFDC21P,0.0015430291752448605,3.4701959590675657,4.634624423320699,MSI-H
SLC43A3,0.0015428671078354889,5.84941505029243,6.5372144172536135,MSI-H
ETNK2,0.0015404165693937949,4.521963429768432,3.8173878764428513,Non-MSI-H
LOC389602,0.0015260194261119046,6.555799182901241,5.460038223278559,Non-MSI-H
CD3E,0.0015193421526752075,5.572012309171536,6.005805137372841,MSI-H
NCR1,0.0015142037157745774,1.167388921745937,2.2068079235828413,MSI-H
H3-3A,0.0015094267876324613,6.965160062007272,6.155677172689535,Non-MSI-H
FGFR2,0.0015077137592728847,5.804466452642395,6.606012688500293,MSI-H
LGALS9B,0.0015071836243872958,3.8854945443114706,3.321069345884552,Non-MSI-H
AQP3,0.0015042739240952868,6.1725062661110615,7.384000200079951,MSI-H
ZC3H12C,0.0015016307074190735,5.570797360764581,5.855718751228786,MSI-H
ZNF570,0.0014919944217253501,4.666753494621836,3.8056220319321428,Non-MSI-H
OR7E47P,0.001488130168719506,3.4252506775050002,2.9269069264077365,Non-MSI-H
FFAR2,0.0014876392968707546,3.610024285434591,4.459860665658347,MSI-H
LOC101928295,0.001476243975199101,2.06503413848769,1.2697571580560847,Non-MSI-H
SLC37A2,0.0014551344076110225,5.288319514168109,5.5722840359286945,MSI-H
SLC15A1,0.0014461880255350263,4.235013584388148,1.777276318511132,Non-MSI-H
CCDC110,0.0014432770880558135,2.931562101346085,3.2949795314044956,MSI-H
HES5,0.001443200230912037,2.110539824908699,1.7768288461199784,Non-MSI-H
DIO3OS,0.0014387967204659204,6.081300858642405,4.111961962738474,Non-MSI-H
FPR1,0.0014380295328007744,4.660073704613141,5.477235395218643,MSI-H
S100A8,0.0014325611416499903,4.528639368174269,5.38957564116516,MSI-H
ZNF736,0.0014317894383528403,5.803111188264342,4.93840408793294,Non-MSI-H
HCAR1,0.00142664091865328,3.4848447244448284,1.8339718956739186,Non-MSI-H
MEIS2,0.0014153387821115454,4.6173369854257205,5.267894034604679,MSI-H
LINC01738,0.001396135116783077,2.1341200172061017,0.8025104085347573,Non-MSI-H
GALC,0.0013876689973717272,6.686198905397407,6.130639438110069,Non-MSI-H
SLC1A7,0.0013846262782546681,4.8298871676365565,3.0525100682269026,Non-MSI-H
LINC01750,0.0013794954847976269,1.6546126470426081,2.3412408347637315,MSI-H
PKDCC,0.0013691310993844802,7.38165040932156,7.077285614782639,Non-MSI-H
TRPA1,0.0013649303040230891,4.989070214708405,5.265364889393739,MSI-H
CHST6,0.0013554512689528194,4.0106608832681,5.037657117185019,MSI-H
HOXD11,0.001355088095541398,3.5596260852118093,2.522230846434518,Non-MSI-H
ZNF503-AS1,0.0013539008185229288,4.647828931936769,3.576424886191344,Non-MSI-H
GGT7,0.00134991957547243,6.893186911652616,5.481318415831359,Non-MSI-H
DUSP4,0.0013433080752153102,6.493751219606847,8.309815077708627,MSI-H
SLC23A1,0.0013334320329987052,4.072092867486857,3.1183414077491447,Non-MSI-H
EDARADD,0.0013328619526969334,2.5291125654044575,2.630500437577358,MSI-H
DKK1,0.0013325369402903322,3.084072011233669,2.243969343955244,Non-MSI-H
LINC01443,0.0013241570966221958,1.967343385341175,2.856598345765035,MSI-H
PRSS41,0.0013197532413930407,1.8888288976909637,1.0711209579228278,Non-MSI-H
EOMES,0.0013100838342504648,2.899220764464782,3.720398723937744,MSI-H
HLA-DRA,0.001310009008238415,9.042908458025705,9.862331169263749,MSI-H
LINC02441,0.0013090734339416593,3.881854092029449,1.7726167405977773,Non-MSI-H
MARCO,0.0013073948207226462,3.587718555359969,4.849685164259898,MSI-H
VAV3,0.0012949974059625322,7.981726577515058,6.169231536293082,Non-MSI-H
NEU4,0.0012904928370234242,5.4930867902360605,4.527684305676006,Non-MSI-H
ITGA9,0.0012794722827402564,6.648272052066411,5.8435786489739385,Non-MSI-H
CTTNBP2,0.0012768037416271726,5.975487200108629,3.8333156231810066,Non-MSI-H
HAGLR,0.0012687427912341403,5.172447332353718,5.896532512802202,MSI-H
TH,0.0012608566664839992,3.4513692375197236,1.6125718539606015,Non-MSI-H
HOXC-AS2,0.0012588531114345694,0.8163134406951544,2.3241954047824755,MSI-H
TRG-AS1,0.001258727839886619,3.0424698979136515,3.5828948780580676,MSI-H
LRP4,0.0012528981849348076,7.757400305692217,6.827711141057627,Non-MSI-H
IGHV1OR15-9,0.001251859130923489,2.0372719776550596,1.8554385559988982,Non-MSI-H
NKD1,0.001246971808003213,7.738600539010941,5.670592427760496,Non-MSI-H
ANPEP,0.0012287542917032701,7.092215757439503,7.320776699526427,MSI-H
EDAR,0.0012205069823877338,5.956974151242645,4.849548725535103,Non-MSI-H
MTNR1A,0.0012133254000638387,1.990405395293716,2.771854524334232,MSI-H
DENND2C,0.0012083264678420388,3.641246150313308,2.805586894310109,Non-MSI-H
IHH,0.0012074782355647657,8.00015550243183,6.44292850572355,Non-MSI-H
