gene,importance,0,1,2,highest_in,lowest_in
RPL8P3,0.001188543978408481,3.356850718989537,3.185870025389987,3.565730753020642,2,1
PRAP1,0.0011837504889151333,7.93220929736262,5.6690937617272965,7.7525036275016665,0,1
ANO1,0.0011562287292739054,6.65552044821525,7.807440676794627,6.766848290062422,1,0
LRP4,0.0011533691361262058,7.646797757044038,6.779499340886251,8.03112813130287,2,1
LAMC3,0.001151459402448663,4.637598696258679,4.240410455496234,4.512860077813432,0,1
INSC,0.0011468955881836535,3.611373110193272,3.1223153606208376,3.540522849794102,0,1
RPS6KA6,0.0011428081557127532,5.215892315032941,2.71546415823123,5.118289590337261,0,1
ZP2,0.0011218246682305074,2.135046111764028,0.7872382927478051,2.08176479767409,0,1
LRRC43,0.0010975459883813294,3.1317947814105787,2.080857048507374,3.0989644547826014,0,1
MUC5AC,0.0010968819575367832,4.685850404777669,7.382696328380984,5.224732200597336,1,0
SLC19A3,0.0010936119257370727,5.506083552991642,3.510586981632104,5.377554565673453,0,1
SLC14A1,0.0010862447315339496,4.01891409606488,2.9656186601450965,4.164587658259556,2,1
ZDHHC11B,0.0010855292523942817,4.4437521288263655,4.163398935746091,4.922354555215544,2,1
TFCP2L1,0.001083331371029302,7.666080718609437,6.261274277000432,7.6162023789713995,0,1
SATB2-AS1,0.0010828728312181255,5.741606829308467,3.7644420878459424,5.718442774461667,0,1
IGFL1,0.0010817752153654352,1.6668135302791822,1.514103726797532,1.7864462604501588,2,1
ZNF252P-AS1,0.0010796486414311277,3.0907169139028072,2.1902923994944508,3.231619381409713,2,1
AKNAD1,0.0010790690890273677,2.6744339348724178,1.3174528336080427,2.666979463571997,0,1
SALL4,0.0010786756912921098,4.7673629188944355,3.530230894539936,4.776566136852501,2,1
MYOM3,0.0010728679424561688,6.560746481525142,5.014523647344282,6.631413421580137,2,1
NAALADL2,0.0010705460344294627,6.253359078659409,4.957962584792639,6.200738458060492,0,1
AMT,0.0010696426631685934,6.102033397639814,4.836781833193248,6.159354689056997,2,1
MPP1,0.0010658566901385607,6.960498787998788,5.985070691983311,6.748447398549399,0,1
NKX3-1,0.0010631062104203175,3.1876122659105297,4.5453485287555635,3.3250218407364445,1,0
FABP1,0.001054422355537355,8.858731884558765,6.783595534910017,9.163897549686274,2,1
IQGAP2,0.0010526318344532802,6.924154036353539,7.603938996748134,7.165686301114908,1,0
PLA2G12B,0.0010498459667208832,4.012618576521218,1.4044484910668842,3.967795761140941,0,1
DNAH5,0.001042837819661381,3.6855098417226193,3.9582853319084617,3.864149086387521,1,0
FAM198B-AS1,0.0010386565418388702,3.7062707097719096,2.92867695818977,3.809044337275288,2,1
ADGB,0.0010356512152354625,2.0183802556019246,0.45405047549465505,1.9522787933527335,0,1
ADRB1,0.0010341510144402574,2.819207713236418,3.8362807384031368,3.096769405790109,1,0
PTPRO,0.0010339272547850301,7.267904913351244,5.494612157424004,7.0583461267614025,0,1
COL9A1,0.0010332026684968137,4.784566958161068,2.819314773746388,4.493074797174079,0,1
HCG11,0.0010331652523430197,5.482557005516839,4.250031466077177,5.433346734467898,0,1
VSNL1,0.0010265334768403975,6.623069025617235,6.830599777010375,6.637592083884759,1,0
FER1L4,0.0010189236783194416,6.128843282681954,5.051760417607294,6.53086460930184,2,1
OSER1-DT,0.0010147120622450803,5.736881692962802,4.687015255061489,5.798081096414417,2,1
DLGAP1-AS5,0.001014085422369829,0.7246590960494776,2.6971192338093153,0.9674273555929359,1,0
